"Part";"Value";"Device";"Package";"Description";"FARNELL";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"VALUE";
"+5VDC";"POWER_JACKPTH";"POWER_JACKPTH";"POWER_JACK_PTH";"Power Jack";"";"";"";"";"";"CONN-08197";"";
"BLUETOOTH";"BLUETOOTH";"M06SMD-FEMALE-V2";"1X06-SMD-FEMALE-V2";"Header 6";"";"";"";"";"";"";"";
"C1";"1uF";"CPOL-EUC/6032-28R";"C/6032-28R";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C2";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C3";"1uF";"CPOL-EUC/6032-28R";"C/6032-28R";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C4";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C5";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C6";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C7";"1u";"CPOL-EUSMCA";"SMC_A";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C8";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C9";"22p";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C10";"22p";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C11";"1u";"CPOL-EUSMCA";"SMC_A";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C12";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C13";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C14";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C15";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C16";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C17";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C18";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C19";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C20";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C21";"1u";"CPOL-EUSMCA";"SMC_A";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C22";"1u";"CPOL-EUC/6032-28R";"C/6032-28R";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C23";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C24";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C25";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C26";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C27";"10u";"CPOL-EUC/6032-28R";"C/6032-28R";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C28";"10u";"CPOL-EUC/6032-28R";"C/6032-28R";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C29";"10u";"CPOL-EUC/6032-28R";"C/6032-28R";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C30";"10u";"CPOL-EUC/6032-28R";"C/6032-28R";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C31";"1u";"CPOL-EUC/6032-28R";"C/6032-28R";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C32";"1u";"CPOL-EUC/6032-28R";"C/6032-28R";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C33";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C34";"10u";"CPOL-EUC/6032-28R";"C/6032-28R";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";
"CR1";"CR2032";"CR2032SMT";"CR2032-SMD";"";"";"";"";"";"";"";"";
"D1";"BLUE";"LED-BLUE1206";"LED-1206";"Blue LEDs for production use";"";"";"";"";"";"DIO-09911";"BLUE";
"D2";"CD1206-S01575";"DIODE-MINIMELF";"MINIMELF";"DIODE";"";"";"";"";"";"";"";
"D3";"M7";"DIODE-SMB";"SMB";"DIODE";"";"";"";"";"";"";"";
"DATA";"USBDATA";"USBMOLEX";"USB-MINIB-THM-MOLEX";"USB Connectors";"";"";"";"";"";"";"";
"DS1";"DS3231";"M06SMD-FEMALE-V2";"1X06-SMD-FEMALE-V2";"Header 6";"";"";"";"";"";"";"";
"ESP1";"ESP12";"ESP-12";"ESP-12";"";"";"";"";"";"";"";"";
"H1";"";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"";"";"";"";"";"";"";
"H2";"";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"";"";"";"";"";"";"";
"H3";"";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"";"";"";"";"";"";"";
"H4";"";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"";"";"";"";"";"";"";
"I1";"MF-MSMF050-2 500mA";"L-EUL1812";"L1812";"INDUCTOR, European symbol";"";"";"";"";"";"";"";
"IC1";"ATMEGA32U4TQFP-44";"ATMEGA32U4TQFP-44";"TQFP44";"Atmel 44-pin 8-bit Microcontroller with 32KBytes of ISP Flash and USB Controller";"";"";"";"";"";"";"";
"IC2";"DS3231/SO";"DS3231/SO";"SO16W";"";"";"";"";"";"";"";"";
"IC3";"AT42QT1010SOT23";"AT42QT1010SOT23";"SOT23-6";"";"";"";"";"";"";"";"";
"IC4";"AT42QT1010SOT23";"AT42QT1010SOT23";"SOT23-6";"";"";"";"";"";"";"";"";
"IC5";"AT42QT1010SOT23";"AT42QT1010SOT23";"SOT23-6";"";"";"";"";"";"";"";"";
"IC6";"AT42QT1010SOT23";"AT42QT1010SOT23";"SOT23-6";"";"";"";"";"";"";"";"";
"IC7";"LMV358IDGKR";"LMV358MX";"SO08";"Dual General Purpose, Low Voltage, Rail-to-Rail Output Operational Amplifiers";"";"";"";"";"";"";"";
"ICSP";"ICSP";"PINHD-2X3/90";"2X03/90";"PIN HEADER";"";"";"";"";"";"";"";
"JP1";"";"PINHD-1X2/90";"1X02/90";"PIN HEADER";"";"";"";"";"";"";"";
"JP2";"";"PINHD-1X2/90";"1X02/90";"PIN HEADER";"";"";"";"";"";"";"";
"JP3";"";"PINHD-1X2/90";"1X02/90";"PIN HEADER";"";"";"";"";"";"";"";
"JP4";"";"PINHD-1X2/90";"1X02/90";"PIN HEADER";"";"";"";"";"";"";"";
"L1";"MH2029-300Y";"WE-CBF_0805";"0805";"SMD EMI Suppression Ferrite Beads";"";"";"";"";"";"";"";
"LED1";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED2";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED3";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED4";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED5";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED6";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED7";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED8";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED9";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED10";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED11";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED12";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED13";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED14";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED15";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED16";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED17";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED18";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED19";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED20";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED21";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED22";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED23";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED24";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED25";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED26";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED27";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED28";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED29";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED30";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED31";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED32";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED33";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED34";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED35";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED36";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED37";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED38";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED39";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED40";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED41";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED42";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED43";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED44";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED45";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED46";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED47";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED48";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED49";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED50";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED51";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED52";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED53";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED54";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED55";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED56";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED57";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED58";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED59";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED60";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED61";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED62";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED63";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED64";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED65";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED66";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED67";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED68";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED69";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED70";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED71";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED72";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED73";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED74";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED75";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED76";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED77";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED78";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED79";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED80";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
"LED81";"WS2812B";"WS2812B";"WS2812B";"";"";"";"";"";"";"";"";
